Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
1/1/12,31/01/2012,N/A,UNI,Upper North Island,883.582
1/1/12,31/01/2012,N/A,CNI,Central North Island,684.394
1/1/12,31/01/2012,N/A,LNI,Lower North Island,410.557
1/1/12,31/01/2012,N/A,USI,Upper South Island,478.359
1/1/12,31/01/2012,N/A,LSI,Lower South Island,758.645
1/2/12,29/02/2012,N/A,UNI,Upper North Island,871.828
1/2/12,29/02/2012,N/A,CNI,Central North Island,663.452
1/2/12,29/02/2012,N/A,LNI,Lower North Island,404.879
1/2/12,29/02/2012,N/A,USI,Upper South Island,439.216
1/2/12,29/02/2012,N/A,LSI,Lower South Island,700.324
1/3/12,31/03/2012,N/A,UNI,Upper North Island,935.767
1/3/12,31/03/2012,N/A,CNI,Central North Island,707.091
1/3/12,31/03/2012,N/A,LNI,Lower North Island,446.801
1/3/12,31/03/2012,N/A,USI,Upper South Island,430.762
1/3/12,31/03/2012,N/A,LSI,Lower South Island,743.564
1/4/12,30/04/2012,N/A,UNI,Upper North Island,900.003
1/4/12,30/04/2012,N/A,CNI,Central North Island,710.495
1/4/12,30/04/2012,N/A,LNI,Lower North Island,434.295
1/4/12,30/04/2012,N/A,USI,Upper South Island,431.261
1/4/12,30/04/2012,N/A,LSI,Lower South Island,710.374
1/5/12,31/05/2012,N/A,UNI,Upper North Island,1038.891
1/5/12,31/05/2012,N/A,CNI,Central North Island,757.894
1/5/12,31/05/2012,N/A,LNI,Lower North Island,516.523
1/5/12,31/05/2012,N/A,USI,Upper South Island,508.66
1/5/12,31/05/2012,N/A,LSI,Lower South Island,746.851
1/6/12,30/06/2012,N/A,UNI,Upper North Island,1059.889
1/6/12,30/06/2012,N/A,CNI,Central North Island,770.318
1/6/12,30/06/2012,N/A,LNI,Lower North Island,528.206
1/6/12,30/06/2012,N/A,USI,Upper South Island,541.055
1/6/12,30/06/2012,N/A,LSI,Lower South Island,730.68
1/7/12,31/07/2012,N/A,UNI,Upper North Island,1115.72
1/7/12,31/07/2012,N/A,CNI,Central North Island,807.209
1/7/12,31/07/2012,N/A,LNI,Lower North Island,544.807
1/7/12,31/07/2012,N/A,USI,Upper South Island,550.697
1/7/12,31/07/2012,N/A,LSI,Lower South Island,749.46
1/8/12,31/08/2012,N/A,UNI,Upper North Island,1075.462
1/8/12,31/08/2012,N/A,CNI,Central North Island,799.101
1/8/12,31/08/2012,N/A,LNI,Lower North Island,530.333
1/8/12,31/08/2012,N/A,USI,Upper South Island,520.835
1/8/12,31/08/2012,N/A,LSI,Lower South Island,743.135
1/9/12,30/09/2012,N/A,UNI,Upper North Island,993.877
1/9/12,30/09/2012,N/A,CNI,Central North Island,745.03
1/9/12,30/09/2012,N/A,LNI,Lower North Island,486.112
1/9/12,30/09/2012,N/A,USI,Upper South Island,475.091
1/9/12,30/09/2012,N/A,LSI,Lower South Island,711.744
1/10/12,31/10/2012,N/A,UNI,Upper North Island,982.752
1/10/12,31/10/2012,N/A,CNI,Central North Island,743.773
1/10/12,31/10/2012,N/A,LNI,Lower North Island,469.039
1/10/12,31/10/2012,N/A,USI,Upper South Island,472.373
1/10/12,31/10/2012,N/A,LSI,Lower South Island,738.055
1/11/12,30/11/2012,N/A,UNI,Upper North Island,929.1
1/11/12,30/11/2012,N/A,CNI,Central North Island,704.401
1/11/12,30/11/2012,N/A,LNI,Lower North Island,444.288
1/11/12,30/11/2012,N/A,USI,Upper South Island,460.312
1/11/12,30/11/2012,N/A,LSI,Lower South Island,702.809
1/12/12,31/12/2012,N/A,UNI,Upper North Island,906.263
1/12/12,31/12/2012,N/A,CNI,Central North Island,688.999
1/12/12,31/12/2012,N/A,LNI,Lower North Island,426.352
1/12/12,31/12/2012,N/A,USI,Upper South Island,498.807
1/12/12,31/12/2012,N/A,LSI,Lower South Island,737.002
1/1/13,31/01/2013,N/A,UNI,Upper North Island,895.241
1/1/13,31/01/2013,N/A,CNI,Central North Island,682.404
1/1/13,31/01/2013,N/A,LNI,Lower North Island,421.41
1/1/13,31/01/2013,N/A,USI,Upper South Island,495.825
1/1/13,31/01/2013,N/A,LSI,Lower South Island,736.217
1/2/13,28/02/2013,N/A,UNI,Upper North Island,835.721
1/2/13,28/02/2013,N/A,CNI,Central North Island,623.434
1/2/13,28/02/2013,N/A,LNI,Lower North Island,393.474
1/2/13,28/02/2013,N/A,USI,Upper South Island,467.46
1/2/13,28/02/2013,N/A,LSI,Lower South Island,687.117
1/3/13,31/03/2013,N/A,UNI,Upper North Island,926.556
1/3/13,31/03/2013,N/A,CNI,Central North Island,676.614
1/3/13,31/03/2013,N/A,LNI,Lower North Island,430.858
1/3/13,31/03/2013,N/A,USI,Upper South Island,489.289
1/3/13,31/03/2013,N/A,LSI,Lower South Island,734.664
1/4/13,30/04/2013,N/A,UNI,Upper North Island,900.633
1/4/13,30/04/2013,N/A,CNI,Central North Island,653.07
1/4/13,30/04/2013,N/A,LNI,Lower North Island,431.768
